0.0	-51578133338915.84
6.25	-54765538778377.1
12.5	-52296253344076.78
18.75	-35577214099341.51
25.0	-19084039139154.23
31.25	-16412535561278.71
37.5	-28768694722232.43
43.75	-50711613431929.4
50.0	-70699070746586.02
56.25	-79559195507636.03
62.5	-70848204576975.86
68.75	-44158299234679.445
75.0	-20665277712366.383
81.25	-17742132096922.9
87.5	-24188639866185.87
93.75	-25768415706751.395
100.0	-12607712520031.752
106.25	25335372724841.223
112.5	81465869788698.44
118.75	120936363582067.0
125.0	113178647529272.64
131.25	54580070253169.91
137.5	-21506253901273.246
143.75	-61132685081994.23
150.0	-56003529575905.14
