   -6   -4    0    1    1    1      0.0335324243      0.0038449434
   -6   -4    0    1    1    2      0.0289692082     -0.0032884881
   -6   -4    0    1    1    3      0.0000000104     -0.0000000056
   -6   -4    0    2    1    1     -0.0000001725      0.0000003602
   -6   -4    0    2    1    2     -0.0000001669      0.0000003539
   -6   -4    0    2    1    3     -0.0006291275      0.0018287995
   -6   -4    0    1    2    1      0.0000004240     -0.0000001081
   -6   -4    0    1    2    2      0.0000002450      0.0000001222
   -6   -4    0    1    2    3      0.0006291555      0.0018288285
   -6   -4    0    2    2    1      0.0335334960     -0.0038477591
   -6   -4    0    2    2    2      0.0289689232      0.0032907115
   -6   -4    0    2    2    3     -0.0000000091      0.0000000033
   -6   -3    0    1    1    1     -0.1100952599     -0.0000009476
   -6   -3    0    1    1    2      0.0000001384     -0.0416758261
   -6   -3    0    1    1    3      0.0000000026     -0.0000000034
   -6   -3    0    2    1    1     -0.0000001161      0.0000001073
   -6   -3    0    2    1    2     -0.0000000310     -0.0000000473
   -6   -3    0    2    1    3      0.0017357935     -0.0000000221
   -6   -3    0    1    2    1      0.0000004325     -0.0000000838
   -6   -3    0    1    2    2      0.0000000084     -0.0000002196
   -6   -3    0    1    2    3     -0.0017357744     -0.0000000013
   -6   -3    0    2    2    1     -0.1100946688     -0.0000011402
   -6   -3    0    2    2    2      0.0000008827      0.0416763263
   -6   -3    0    2    2    3     -0.0000000015      0.0000000012
   -6   -2    0    1    1    1      0.0335340082     -0.0038461181
   -6   -2    0    1    1    2     -0.0289689845     -0.0032889325
   -6   -2    0    1    1    3      0.0000000004      0.0000000039
   -6   -2    0    2    1    1     -0.0000002816     -0.0000000459
   -6   -2    0    2    1    2      0.0000000746     -0.0000001737
   -6   -2    0    2    1    3     -0.0006291646     -0.0018287993
   -6   -2    0    1    2    1      0.0000000418     -0.0000001951
   -6   -2    0    1    2    2     -0.0000000883      0.0000002507
   -6   -2    0    1    2    3      0.0006291906     -0.0018288231
   -6   -2    0    2    2    1      0.0335334355      0.0038470490
   -6   -2    0    2    2    2     -0.0289694601      0.0032907571
   -6   -2    0    2    2    3      0.0000000006     -0.0000000066
   -5   -5    0    1    1    1     -0.0012439171      0.0068886975
   -5   -5    0    1    1    2      0.0021546892      0.0170592885
   -5   -5    0    1    1    3      0.0000000010      0.0000000000
   -5   -5    0    2    1    1      0.0000000504      0.0000005960
   -5   -5    0    2    1    2      0.0000004110      0.0000001899
   -5   -5    0    2    1    3     -0.0000000315     -0.0000000085
   -5   -5    0    1    2    1     -0.0000004065      0.0000004340
   -5   -5    0    1    2    2      0.0000002129      0.0000004743
   -5   -5    0    1    2    3      0.0000000082     -0.0000000118
   -5   -5    0    2    2    1     -0.0012440801     -0.0068876047
   -5   -5    0    2    2    2      0.0021549269     -0.0170590089
   -5   -5    0    2    2    3      0.0000000023      0.0000000000
   -5   -4    0    1    1    1      0.0135484089     -0.0166633182
   -5   -4    0    1    1    2      0.0028078553     -0.0259675207
   -5   -4    0    1    1    3      0.0000000022     -0.0000000098
   -5   -4    0    2    1    1      0.0000002171      0.0000002964
   -5   -4    0    2    1    2      0.0000002622      0.0000003300
   -5   -4    0    2    1    3     -0.0002754907      0.0036575250
   -5   -4    0    1    2    1     -0.0000002333      0.0000002607
   -5   -4    0    1    2    2      0.0000002425      0.0000002982
   -5   -4    0    1    2    3      0.0002754908      0.0036574814
   -5   -4    0    2    2    1      0.0135500864      0.0166628766
   -5   -4    0    2    2    2      0.0028107722      0.0259678972
   -5   -4    0    2    2    3     -0.0000000009      0.0000000109
   -5   -3    0    1    1    1     -0.0209927311      0.0321375652
   -5   -3    0    1    1    2      0.1072834138      0.0183186465
   -5   -3    0    1    1    3     -0.0000000086      0.0000000010
   -5   -3    0    2    1    1      0.0000004351      0.0000002975
   -5   -3    0    2    1    2      0.0000000403      0.0000000129
   -5   -3    0    2    1    3      0.0004813458      0.0012619528
   -5   -3    0    1    2    1     -0.0000001478     -0.0000001106
   -5   -3    0    1    2    2      0.0000001643     -0.0000003527
   -5   -3    0    1    2    3     -0.0004813567      0.0012619955
   -5   -3    0    2    2    1     -0.0209903321     -0.0321383073
   -5   -3    0    2    2    2      0.1072833529     -0.0183171130
   -5   -3    0    2    2    3      0.0000000108      0.0000000008
   -5   -2    0    1    1    1     -0.0209922875     -0.0321368799
   -5   -2    0    1    1    2     -0.1072830287      0.0183179735
   -5   -2    0    1    1    3     -0.0000000086      0.0000000038
   -5   -2    0    2    1    1     -0.0000000340     -0.0000001362
   -5   -2    0    2    1    2      0.0000000490      0.0000001513
   -5   -2    0    2    1    3      0.0004813302     -0.0012619709
   -5   -2    0    1    2    1     -0.0000003208      0.0000001966
   -5   -2    0    1    2    2     -0.0000000288     -0.0000000551
   -5   -2    0    1    2    3     -0.0004813505     -0.0012619335
   -5   -2    0    2    2    1     -0.0209908350      0.0321371771
   -5   -2    0    2    2    2     -0.1072824418     -0.0183168749
   -5   -2    0    2    2    3      0.0000000106     -0.0000000016
   -5   -1    0    1    1    1      0.0135499501      0.0166639005
   -5   -1    0    1    1    2     -0.0028078102     -0.0259675878
   -5   -1    0    1    1    3      0.0000000019      0.0000000009
   -5   -1    0    2    1    1      0.0000004495      0.0000002890
   -5   -1    0    2    1    2     -0.0000001494     -0.0000000779
   -5   -1    0    2    1    3     -0.0002755387     -0.0036574804
   -5   -1    0    1    2    1     -0.0000003452      0.0000000820
   -5   -1    0    1    2    2      0.0000000181     -0.0000000788
   -5   -1    0    1    2    3      0.0002755010     -0.0036574788
   -5   -1    0    2    2    1      0.0135500217     -0.0166621734
   -5   -1    0    2    2    2     -0.0028115509      0.0259671772
   -5   -1    0    2    2    3      0.0000000013     -0.0000000002
   -5    0    0    1    1    1     -0.0012445872     -0.0068890397
   -5    0    0    1    1    2     -0.0021559078      0.0170594288
   -5    0    0    1    1    3     -0.0000000023      0.0000000000
   -5    0    0    2    1    1      0.0000003961      0.0000003550
   -5    0    0    2    1    2     -0.0000001197     -0.0000000647
   -5    0    0    2    1    3     -0.0000000577      0.0000000492
   -5    0    0    1    2    1     -0.0000003866      0.0000003117
   -5    0    0    1    2    2      0.0000001425     -0.0000001472
   -5    0    0    1    2    3     -0.0000000179     -0.0000000289
   -5    0    0    2    2    1     -0.0012440630      0.0068880265
   -5    0    0    2    2    2     -0.0021549361     -0.0170604888
   -5    0    0    2    2    3      0.0000000047      0.0000000000
   -4   -5    0    1    1    1     -0.0590031802      0.0288375741
   -4   -5    0    1    1    2      0.0357904357     -0.0051490623
   -4   -5    0    1    1    3      0.0000000106      0.0000000011
   -4   -5    0    2    1    1     -0.0000003235      0.0000002007
