Energy,DOS,Cumulative
1.118592965,0.001861682,1.984443214
1.126884422,0.001865492,1.986308706
1.135175879,0.001870412,1.988179118
1.143467337,0.001876567,1.990055686
1.151758794,0.001884015,1.991939701
1.160050251,0.001890948,1.993830649
1.168341709,0.001877765,1.995708414
1.176633166,0.001753748,1.997462162
1.184924623,0.001363586,1.998825748
1.19321608,0.000753123,1.999578871
1.201507538,0.000259171,1.999838043
1.209798995,5.11144E-05,1.999889157
1.218090452,5.50474E-06,1.999894662
1.22638191,3.14829E-07,1.999894977
1.234673367,9.40464E-09,1.999894986
1.242964824,1.4522E-10,1.999894986
1.251256281,1.14997E-12,1.999894986
1.259547739,0,1.999894986
1.267839196,0,1.999894986
1.276130653,0,1.999894986
1.284422111,0,1.999894986
1.292713568,0,1.999894986
1.301005025,0,1.999894986
1.309296482,0,1.999894986
1.31758794,0,1.999894986
1.325879397,0,1.999894986
1.334170854,0,1.999894986
1.342462312,0,1.999894986
1.350753769,0,1.999894986
1.359045226,0,1.999894986
1.367336683,0,1.999894986
1.375628141,0,1.999894986
1.383919598,0,1.999894986
1.392211055,0,1.999894986
1.400502513,0,1.999894986
1.40879397,0,1.999894986
1.417085427,0,1.999894986
1.425376884,0,1.999894986
1.433668342,0,1.999894986
1.441959799,0,1.999894986
1.450251256,0,1.999894986
1.458542714,0,1.999894986
1.466834171,0,1.999894986
1.475125628,0,1.999894986
1.483417085,0,1.999894986
1.491708543,0,1.999894986
1.5,0,1.999894986
